<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.10.23	00:00:00.439	0.60410	0.60601			6
2024.10.23	00:00:00.781	0.60394	0.60594			6
2024.10.23	00:00:16.632	0.60398	0.60598			6
2024.10.23	00:01:08.422	0.60398				2
2024.10.23	00:02:00.473	0.60396	0.60596			6
2024.10.23	00:02:42.584	0.60434	0.60605			6
2024.10.23	00:02:43.830		0.60604			4
2024.10.23	00:02:44.489	0.60435	0.60591			6
2024.10.23	00:02:44.799	0.60436	0.60576			6
2024.10.23	00:02:45.106		0.60575			4
2024.10.23	00:02:46.189		0.60574			4
2024.10.23	00:02:47.192		0.60573			4
2024.10.23	00:02:48.296	0.60447	0.60577			6
2024.10.23	00:02:49.431		0.60572			4
2024.10.23	00:02:50.346		0.60571			4
2024.10.23	00:03:00.279	0.60431	0.60494			6
2024.10.23	00:03:35.012		0.60493			4
2024.10.23	00:04:01.258	0.60431				2
2024.10.23	00:04:41.240		0.60493			4
2024.10.23	00:05:00.591	0.60431				2
2024.10.23	00:05:41.271		0.60493			4
2024.10.23	00:06:00.554	0.60431				2
2024.10.23	00:06:24.362	0.60439				2
2024.10.23	00:06:41.309		0.60493			4
2024.10.23	00:07:01.279	0.60439				2
2024.10.23	00:07:02.583	0.60442				2
2024.10.23	00:07:22.567	0.60440				2
2024.10.23	00:07:41.383		0.60493			4
2024.10.23	00:08:01.842	0.60440				2
2024.10.23	00:08:44.082		0.60493			4
2024.10.23	00:08:47.694	0.60449				2
2024.10.23	00:08:58.359	0.60445				2
2024.10.23	00:09:00.928	0.60445				2
2024.10.23	00:09:05.066	0.60443				2
2024.10.23	00:09:33.224	0.60449				2
2024.10.23	00:09:44.363		0.60493			4
2024.10.23	00:09:44.910	0.60447				2
2024.10.23	00:09:47.586	0.60445				2
2024.10.23	00:09:53.014	0.60444				2
2024.10.23	00:09:53.725	0.60437	0.60499			6
2024.10.23	00:10:00.342	0.60437				2
2024.10.23	00:11:07.756	0.60442	0.60506			6
2024.10.23	00:11:08.258		0.60500			4
2024.10.23	00:11:08.593		0.60499			4
2024.10.23	00:11:12.827	0.60438				2
2024.10.23	00:11:20.139	0.60436				2
2024.10.23	00:11:30.317	0.60442				2
2024.10.23	00:12:00.222	0.60442				2
2024.10.23	00:12:04.435	0.60422				2
2024.10.23	00:12:09.260		0.60499			4
2024.10.23	00:12:30.356	0.60423				2
2024.10.23	00:12:37.477	0.60422				2
2024.10.23	00:12:48.282	0.60423				2
2024.10.23	00:12:49.504	0.60422				2
2024.10.23	00:13:01.868	0.60422				2
2024.10.23	00:13:09.997		0.60499			4
2024.10.23	00:13:46.850	0.60432	0.60494			6
2024.10.23	00:13:59.947	0.60423	0.60499			6
2024.10.23	00:14:49.491	0.60422				2
2024.10.23	00:14:59.966		0.60499			4
2024.10.23	00:15:00.983	0.60422				2
2024.10.23	00:15:42.617		0.60489			4
2024.10.23	00:15:42.962		0.60484			4
2024.10.23	00:16:01.590	0.60422				2
2024.10.23	00:16:20.949	0.60421	0.60480			6
2024.10.23	00:16:21.253		0.60479			4
2024.10.23	00:16:45.370	0.60417	0.60489			6
2024.10.23	00:16:52.580	0.60416				2
2024.10.23	00:17:00.065	0.60417				2
2024.10.23	00:17:02.808	0.60416				2
2024.10.23	00:17:47.904		0.60489			4
2024.10.23	00:17:50.182	0.60417				2
2024.10.23	00:18:01.395	0.60417				2
2024.10.23	00:18:48.225		0.60489			4
2024.10.23	00:18:52.446	0.60421				2
2024.10.23	00:19:23.883	0.60421				2
2024.10.23	00:19:55.997	0.60422	0.60489			6
2024.10.23	00:20:36.808	0.60422				2
2024.10.23	00:21:31.478	0.60422	0.60489			6
2024.10.23	00:22:16.481	0.60422				2
2024.10.23	00:22:38.808		0.60489			4
2024.10.23	00:23:09.436	0.60416				2
2024.10.23	00:23:09.770	0.60415				2
2024.10.23	00:23:10.473	0.60421				2
2024.10.23	00:23:19.631	0.60410				2
2024.10.23	00:23:20.115	0.60415				2
2024.10.23	00:23:29.793	0.60410				2
2024.10.23	00:23:39.230		0.60489			4
